"type","number","title","created_at","updated_at","state","category_or_labels","comments","upvotes","url"
"issue","1","obs 预览界面不显示鼠标","8/15/2023 3:42:30 PM","9/1/2023 1:51:28 AM","open","#softwares","2","0","https://github.com/junxian-li-hpc/myIssues/issues/1"
"issue","2","ipad 不显示`还原位置与隐私`","8/19/2023 11:57:59 AM","9/1/2023 1:52:58 AM","open","#ipad","0","0","https://github.com/junxian-li-hpc/myIssues/issues/2"
"issue","3","双固态 双系统 远程连接 动态选择启动盘 解决方案","8/25/2023 6:50:21 AM","8/31/2023 8:42:42 AM","open","#ubuntu","6","0","https://github.com/junxian-li-hpc/myIssues/issues/3"
"issue","4","安装显卡驱动后 网络和蓝牙无法使用","8/26/2023 12:00:30 PM","8/31/2023 8:42:53 AM","open","#ubuntu","5","0","https://github.com/junxian-li-hpc/myIssues/issues/4"
"issue","5","Ubuntu 终端安装/卸载 Vivado","8/29/2023 12:07:59 PM","4/12/2025 5:50:20 PM","open","#vivado; #ubuntu; #softwares; #fpga; #environment","9","0","https://github.com/junxian-li-hpc/myIssues/issues/5"
"issue","6","New Ubuntu Essentials ","9/1/2023 12:52:15 AM","1/3/2024 9:41:58 AM","closed","#ubuntu; #softwares; #environment","7","0","https://github.com/junxian-li-hpc/myIssues/issues/6"
"issue","7","自制 Ubuntu 镜像","9/1/2023 1:54:15 AM","9/1/2023 1:54:23 AM","open","#ubuntu","0","0","https://github.com/junxian-li-hpc/myIssues/issues/7"
"issue","8","petaLinux2020.2 installation on Ubuntu20.04","9/1/2023 8:16:35 AM","9/2/2023 12:09:07 PM","open","#ubuntu; #softwares; #fpga","0","0","https://github.com/junxian-li-hpc/myIssues/issues/8"
"issue","9","ubuntu 切换 java 版本","9/4/2023 2:35:05 PM","9/4/2023 2:36:01 PM","open","#ubuntu; #environment","1","0","https://github.com/junxian-li-hpc/myIssues/issues/9"
"discussion","10","Welcome to myIssues Discussions!","9/7/2023 5:43:59 AM","6/16/2024 4:22:37 PM","open","FPGA Learning","3","0","https://github.com/junxian-li-hpc/myIssues/discussions/10"
"discussion","11","消失的SWAP分区","9/7/2023 5:55:06 AM","1/3/2024 9:17:14 AM","open","Ubuntu Issues","6","1","https://github.com/junxian-li-hpc/myIssues/discussions/11"
"discussion","12","Rocket-Chip Tutorial","9/7/2023 6:24:07 AM","10/2/2023 1:31:29 AM","open","rocket-chip","5","1","https://github.com/junxian-li-hpc/myIssues/discussions/12"
"discussion","13","zcu102 PL how to use clock signal","9/21/2023 8:15:46 AM","9/21/2023 8:19:32 AM","open","FPGA Learning","1","1","https://github.com/junxian-li-hpc/myIssues/discussions/13"
"discussion","14","zcu102 references","9/21/2023 8:21:31 AM","9/21/2023 8:21:41 AM","open","FPGA Learning","1","1","https://github.com/junxian-li-hpc/myIssues/discussions/14"
